"","coefficient","estimate","LCL95","UCL95","SE","HotellingT","p"
"Intercept","alpha0","-0.747","-1.316","-0.177","0.286","-2.607","0.011"
"age","alpha1"," 0.001","-0.006"," 0.008","0.004"," 0.413","0.680"
"is_female","alpha2"," 0.124","-0.153"," 0.401","0.139"," 0.888","0.377"
"is_latino","alpha3"," 0.199","-0.086"," 0.484","0.143"," 1.392","0.168"
"is_not_latino_and_black","alpha4"," 0.133","-0.134"," 0.400","0.134"," 0.992","0.324"
"is_not_latino_and_other","alpha5"," 0.142","-0.223"," 0.508","0.184"," 0.774","0.441"
"baseline_tobacco_history","alpha6"," 0.000","-0.013"," 0.014","0.007"," 0.021","0.983"
"has_partner","alpha7"," 0.003","-0.208"," 0.214","0.106"," 0.028","0.978"
"income_val","alpha8","-0.006","-0.037"," 0.025","0.016","-0.375","0.708"
"hour_coinflip_local","alpha9"," 0.000","-0.010"," 0.010","0.005"," 0.005","0.996"
"days_between_v1_and_coinflip_local","alpha10"," 0.005","-0.008"," 0.019","0.007"," 0.792","0.430"
"any_response_2qs","alpha11"," 0.038","-0.088"," 0.164","0.063"," 0.594","0.554"
"any_recent_eligible_dp","alpha12","-0.698","-1.034","-0.363","0.169","-4.142","0.000"
"engagement_most_recent_eligible","alpha13"," 0.887"," 0.638"," 1.135","0.125"," 7.091","0.000"
