"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.348"," 0.155"," 0.039"," 0.658"," 0.089"," 0.607"," 2.240","75.000"," 0.028"
"engagement_most_recent_eligible","-0.300"," 0.158","-0.614"," 0.014","-0.562","-0.038","-1.905","75.000"," 0.061"
"(Intercept)"," 0.348"," 0.155"," 0.039"," 0.658"," 0.089"," 0.607"," 2.240","75.000"," 0.028"
"(Intercept) + engagement_most_recent_eligible"," 0.048"," 0.039","-0.029"," 0.125","-0.016"," 0.112"," 1.247","75.000"," 0.216"
"(Intercept)","-1.540"," 0.295","-2.127","-0.953","-2.031","-1.049","-5.223","75.000"," 0.000"
"age"," 0.002"," 0.004","-0.005"," 0.009","-0.004"," 0.008"," 0.553","75.000"," 0.582"
"is_male","-0.136"," 0.146","-0.427"," 0.155","-0.379"," 0.107","-0.933","75.000"," 0.354"
"is_latino"," 0.212"," 0.147","-0.081"," 0.506","-0.033"," 0.458"," 1.441","75.000"," 0.154"
"is_not_latino_and_black"," 0.129"," 0.138","-0.146"," 0.404","-0.101"," 0.359"," 0.933","75.000"," 0.354"
"is_not_latino_and_other"," 0.130"," 0.187","-0.243"," 0.502","-0.182"," 0.441"," 0.693","75.000"," 0.490"
"baseline_tobacco_history"," 0.001"," 0.007","-0.013"," 0.014","-0.010"," 0.012"," 0.080","75.000"," 0.936"
"has_partner"," 0.013"," 0.107","-0.200"," 0.226","-0.165"," 0.191"," 0.121","75.000"," 0.904"
"income_val","-0.005"," 0.016","-0.037"," 0.027","-0.032"," 0.022","-0.302","75.000"," 0.764"
"hour_coinflip_local"," 0.003"," 0.005","-0.008"," 0.013","-0.006"," 0.012"," 0.533","75.000"," 0.596"
"days_between_v1_and_coinflip_local"," 0.007"," 0.008","-0.008"," 0.022","-0.006"," 0.020"," 0.902","75.000"," 0.370"
"any_response_2qs"," 0.033"," 0.068","-0.102"," 0.167","-0.080"," 0.145"," 0.484","75.000"," 0.630"
"engagement_most_recent_eligible"," 1.030"," 0.175"," 0.682"," 1.379"," 0.739"," 1.322"," 5.885","75.000"," 0.000"
